id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
lylej001,Lyles,Jordan,R,R,KCA,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,20230401,20230929,2023
lyncd001,Lynch,Daniel,L,L,KCA,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20230528,20230718,2023
lynnl001,Lynn,Lance,B,R,CHA,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20230331,20230726,2023
lynnl001,Lynn,Lance,B,R,LAN,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20230801,20231011,2023
macha003,Machado,Andres,R,R,WAS,44,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,20230430,20230930,2023
machm001,Machado,Manny,R,R,SDN,138,0,0,0,0,0,0,105,0,0,0,0,0,33,0,0,20230330,20230929,2023
madrb002,Madris,Bligh,L,R,HOU,12,1,0,1,0,2,0,0,0,1,0,0,1,3,5,0,20230624,20230723,2023
madrn001,Madrigal,Nick,R,R,CHN,92,0,0,0,0,0,14,72,0,0,0,0,0,5,16,6,20230401,20230916,2023
maedk001,Maeda,Kenta,R,R,MIN,23,23,20,3,0,0,0,0,0,0,0,0,0,0,0,0,20230404,20231010,2023
maggd001,Maggi,Drew,R,R,PIT,3,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,20230426,20230429,2023
mahlt001,Mahle,Tyler,R,R,MIN,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20230427,2023
maill001,Maile,Luke,R,R,CIN,78,4,0,4,71,0,0,0,0,0,0,0,0,1,2,0,20230403,20231001,2023
maldm001,Maldonado,Martin,R,R,HOU,128,1,0,1,127,0,0,0,0,0,0,0,0,0,0,0,20230330,20231023,2023
manas001,Manaea,Sean,R,L,SFN,37,37,10,27,0,0,0,0,0,0,0,0,0,0,0,0,20230403,20230927,2023
manct001,Mancini,Trey,R,R,CHN,79,0,0,0,0,51,0,0,0,0,0,5,5,22,15,0,20230330,20230731,2023
mannm001,Manning,Matt,R,R,DET,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20230404,20230906,2023
manoa001,Manoah,Alek,R,R,TOR,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230810,2023
mantj002,Mantiply,Joe,R,L,ARI,44,44,5,39,0,0,0,0,0,0,0,0,0,0,0,0,20230418,20231031,2023
marct001,Marcano,Tucupita,L,R,PIT,75,0,0,0,0,0,18,1,58,0,0,0,0,1,13,1,20230415,20230724,2023
margm001,Margot,Manuel,R,R,TBA,101,0,0,0,0,0,0,0,0,0,56,44,95,0,14,1,20230330,20231004,2023
marij002,Marisnick,Jake,R,R,CHA,9,0,0,0,0,0,0,0,0,0,1,7,8,1,0,1,20230510,20230519,2023
marij002,Marisnick,Jake,R,R,DET,33,0,0,0,0,0,0,0,0,0,30,0,30,3,0,4,20230531,20230708,2023
marij002,Marisnick,Jake,R,R,LAN,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,20230715,20230718,2023
marim001,Mariot,Michael,R,R,CIN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20230904,20230904,2023
marir001,Marinaccio,Ron,R,R,NYA,45,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230909,2023
marlc001,Marlowe,Cade,L,R,SEA,34,0,0,0,0,0,0,0,0,24,4,2,30,2,5,3,20230720,20230908,2023
marqg001,Marquez,German,R,R,COL,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230426,2023
marsa001,Marsh,Alec,R,R,KCA,17,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,20230630,20230930,2023
marsb002,Marsh,Brandon,L,R,PHI,145,0,0,0,0,0,0,0,0,41,108,7,141,2,13,3,20230330,20231024,2023
marta006,Martinez,Adrian,R,R,OAK,22,22,1,21,0,0,0,0,0,0,0,0,0,0,0,0,20230402,20230929,2023
martc007,Martin,Chris,R,R,BOS,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,20230330,20230922,2023
martj006,Martinez,J. D.,R,R,LAN,116,0,0,0,0,0,0,0,0,3,0,0,3,113,2,0,20230330,20231011,2023
